Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee
775671985;CAISSE AUTONOME DE RETRAITE DES CHIRURGIENS DENTISTES ET DES SAGES-FEMMES;50, AVENUE HOCHE;75381;PARIS CEDEX 08;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775691215;CAISSE AUTONOME DE RETRAITE DES MEDECINS DE FRANCE;46 RUE SAINT FERDINAND;75841;PARIS CEDEX 17;;;Générale
784442964;CAISSE AUTONOME DE RETRAITES ET DE PREVOYANCE DES VETERINAIRES;64 AVENUE RAYMOND POINCARE;75116;PARIS;8430B Sécurité sociale obligatoire;INTERNE;Etendue
775685316;CAISSE AUTONOME NATIONALE DE SECURITE SOCIALE DANS LES MINES;77 AVENUE DE SEGUR;75714;PARIS CEDEX 15;8430A Sécurité sociale obligatoire;MUTUALISE;Etendue
500365226;CAISSE AUVERGNE REGIME SOCIAL DES INDEPENDANTS;12 RUE GUSTAVE EIFFEL;81000;ALBI;8430A Sécurité sociale obligatoire;SALARIE;Etendue
784336935;CAISSE CENTRALE DE GARANTIE RESPONSABILITE DES NOTAIRES;31 RUE GAL FOY;75008;PARIS;Code APE: 9711;PROFESSIONNEL;Etendue
302990445;CAISSE CENTRALE DE MUTUALITE SOCIALE AGRICOLE;LES MERCURIALES - 40, RUE JEAN JAURES;93547;BAGNOLET;8430C Sécurité sociale obligatoire;INTERNE;Etendue
388202533;CAISSE CENTRALE DE REASSURANCE;157, BOULEVARD HAUSSMANN;75008;PARIS;6520Z Réassurance;MUTUALISE;Etendue
775694748;CAISSE CENTRALE DES ACTIVITES SOCIALES DU PERSONNEL DES INDUSTRIES ELECTRIQUE ET GAZIERE;8 RUE DE ROSNY;93100;MONTREUIL;Code APE:;INTERNE;Etendue
632059052;CAISSE CENTRALE DU CREDIT MUTUEL;88 RUE CARDINET;75017;PARIS;6419Z Intermédiation monétaire;SALARIE;Etendue
509334512;CAISSE COMMUNE DE SÉCURITÉ SOCIALE DE LA LOZÈRE;QUARTIER DES CARMES;48000;MENDE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775564669;CAISSE D ALLOCATIONS FAMILIALES DE CHARENTE MARITIME;TSA 47123;17073;LA ROCHELLE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
777927138;CAISSE D ALLOCATIONS FAMILIALES DE CORREZE;TSA 40403 19118 BRIVE LA GAILLARDE CEDEX;19118;BRIVE LA GAILLARDE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
778213348;CAISSE D ALLOCATIONS FAMILIALES DE COTE D OR;8 BOULEVARD CLEMENCEAU;21037;DIJON CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
303336192;CAISSE D ALLOCATIONS FAMILIALES DE DORDOGNE;50 RUE CLAUDE BERNARD;24000;PERIGUEUX;8430A Sécurité sociale obligatoire;INTERNE;Etendue
781847488;CAISSE D ALLOCATIONS FAMILIALES DE GIRONDE;RUE DU DOCTEUR GABRIEL PERY;33078;BORDEAUX;8430A Sécurité sociale obligatoire;INTERNE;Etendue
779311224;CAISSE D ALLOCATIONS FAMILIALES DE L AIN;4 RUE ARISTIDE BRIAND TS 30333;01000;BOURG EN BRESSE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534155403;CAISSE D ALLOCATIONS FAMILIALES DE L AISNE;TSA 71678;02325;SAINT QUENTIN;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775548555;CAISSE D ALLOCATIONS FAMILIALES DE L ALLIER;9 RUE ACHILLE ROCHE;03013;MOULINS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534224282;CAISSE D ALLOCATIONS FAMILIALES DE L ARDECHE;56 BOULEVARD DU MARECHAL LECLERC;07200;AUBENAS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
776656209;CAISSE D ALLOCATIONS FAMILIALES DE L ARIEGE;5 RUE VICTOR HUGO BP 60031;09002;FOIX;8430A Sécurité sociale obligatoire;INTERNE;Etendue
780349759;CAISSE D ALLOCATIONS FAMILIALES DE L AUBE;15 AVENUE PASTEUR;10000;TROYES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
776744005;CAISSE D ALLOCATIONS FAMILIALES DE L AVEYRON;31 RUE DE LA BARRIERE;12000;RODEZ;8430A Sécurité sociale obligatoire;INTERNE;Etendue
780808010;CAISSE D ALLOCATIONS FAMILIALES DE L EURE;11 ALLEE DES SOUPIRS CS 82601;27026;EVREUX;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775103955;CAISSE D ALLOCATIONS FAMILIALES DE L EURE ET LOIRE;10 RUE CHARLES VICTOR GAROLA;28000;CHARTRES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534089529;CAISSE D ALLOCATIONS FAMILIALES DE L HERAULT;139 AVENUE DE LODEVE;34943;MONTPELLIER CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775189038;CAISSE D ALLOCATIONS FAMILIALES DE L INDRE;193 AVENUE DE LA CHATRE;36000;CHATEAUROUX;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534224613;CAISSE D ALLOCATIONS FAMILIALES DE L OISE;2 RUE JULES FERRY;60012;BEAUVAIS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775629256;CAISSE D ALLOCATIONS FAMILIALES DE L ORNE;14 RUE DU 14EME HUSSARDS;61000;ALENCON;8430A Sécurité sociale obligatoire;INTERNE;Etendue
778649525;CAISSE D ALLOCATIONS FAMILIALES DE L YONNE;12 RUE DU CLOS;89021;AUXERRE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
781172366;CAISSE D ALLOCATIONS FAMILIALES DE LA CHARENTE;32 BOULEVARD DE BURY;16000;ANGOULEME;8430C Sécurité sociale obligatoire;INTERNE;Etendue
782993133;CAISSE D ALLOCATIONS FAMILIALES DE LA CORSE DU SUD;19 AVENUE IMPERATRICE EUGENIE BP 415;20000;AJACCIO;8430A Sécurité sociale obligatoire;INTERNE;Etendue
777998881;CAISSE D ALLOCATIONS FAMILIALES DE LA CREUSE;2 RUE MARCEL BRUNET TSA 40139;23000;GUERET;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775573397;CAISSE D ALLOCATIONS FAMILIALES DE LA DROME;10 RUE MARCEL BARBU;26023;VALENCE CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
315190751;CAISSE D ALLOCATIONS FAMILIALES DE LA GUYANE;MARAIS LEBLOND;97300;CAYENNE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
327398152;CAISSE D ALLOCATIONS FAMILIALES DE LA HAUTE CORSE;7 AVENUE JEAN ZUCCARELLI;20408;BASTIA;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775613227;CAISSE D ALLOCATIONS FAMILIALES DE LA HAUTE MARNE;34 RUE DU COMMANDANT HUGUENY;52000;CHAUMONT;8430A Sécurité sociale obligatoire;INTERNE;Etendue
778542837;CAISSE D ALLOCATIONS FAMILIALES DE LA HAUTE SAONE;9 BOULEVARD DES ALLIES BP 70345;70006;VESOUL;8430A Sécurité sociale obligatoire;INTERNE;Etendue
776531576;CAISSE D ALLOCATIONS FAMILIALES DE LA HAUTE SAVOIE;TSA 90019;74987;ANNECY;8430A Sécurité sociale obligatoire;INTERNE;Etendue
778073189;CAISSE D ALLOCATIONS FAMILIALES DE LA HAUTE VIENNE;25 RUE FIRMIN DELAGE;87046;LIMOGES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534216080;CAISSE D ALLOCATIONS FAMILIALES DE LA LOIRE;3 AVENUE EMILE LOUBET;42000;SAINT ETIENNE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
780860292;CAISSE D ALLOCATIONS FAMILIALES DE LA MANCHE;63 BOULEVARD AMIRAL GAUCHET;50306;AVRANCHES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
780428975;CAISSE D ALLOCATIONS FAMILIALES DE LA MARNE;202 RUE DES CAPUCINS;51087;REIMS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775613995;CAISSE D ALLOCATIONS FAMILIALES DE LA MAYENNE;11 QUAI PAUL BOUDET;53000;LAVAL;8430A Sécurité sociale obligatoire;INTERNE;Etendue
783382344;CAISSE D ALLOCATIONS FAMILIALES DE LA MEUSE;11 RUE DE POLVAL;55000;BAR LE DUC;8430A Sécurité sociale obligatoire;INTERNE;Etendue
780004032;CAISSE D ALLOCATIONS FAMILIALES DE LA MOSELLE;4 BOULEVARD DU PONTIFFROY;57774;METZ CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
778477737;CAISSE D ALLOCATIONS FAMILIALES DE LA NIEVRE;85 BIS RUE DES CHAUVELLES BP 80092;58020;NEVERS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
314635368;CAISSE D ALLOCATIONS FAMILIALES DE LA REUNION;412 RUE FLEUR DE JADE CS 61038;97833;SAINTE MARIE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775653330;CAISSE D ALLOCATIONS FAMILIALES DE LA SAVOIE;TSA 25000;73023;CHAMBERY;8430A Sécurité sociale obligatoire;INTERNE;Etendue
784971343;CAISSE D ALLOCATIONS FAMILIALES DE LA SEINE ET MARNE;30 RUE ROSA BONHEUR;77024;MELUN;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534092499;CAISSE D ALLOCATIONS FAMILIALES DE LA SEINE MARITIME;222 BOULEVARD DE STRASBOURG;76600;LE HAVRE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775710791;CAISSE D ALLOCATIONS FAMILIALES DE LA SOMME;9 BOULEVARD MAIGNAN LARIVIERE TSA 11329;80059;AMIENS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775716202;CAISSE D ALLOCATIONS FAMILIALES DE LA VIENNE;41 RUE DU TOUFFENET CS 40000;86000;POITIERS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
786019554;CAISSE D ALLOCATIONS FAMILIALES DE LOIRE ATLANTIQUE;22 RUE DE MALVILLE;44937;NANTES CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
380992255;CAISSE D ALLOCATIONS FAMILIALES DE PARIS;50 RUE DU DOCTEUR FINLAY;75750;PARIS CEDEX 15;8430A Sécurité sociale obligatoire;INTERNE;Etendue
380980300;CAISSE D ALLOCATIONS FAMILIALES DE SEINE SAINT DENIS;52 RUE DE LA REPUBLIQUE;93000;BOBIGNY;8430A Sécurité sociale obligatoire;INTERNE;Etendue
777169046;CAISSE D ALLOCATIONS FAMILIALES DE TARBES;6 TER PLACE AU BOIS;65018;TARBES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
786448050;CAISSE D ALLOCATIONS FAMILIALES DE VENDEE;109 BOULEVARD LOUIS BLANC TSA 50010;85927;LA ROCHE SUR YON CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775549371;CAISSE D ALLOCATIONS FAMILIALES DES ALPES DE HAUTE PROVENCE;4 BIS AVENUE DU MARECHAL LECLERC;04000;DIGNE LES BAINS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
782620520;CAISSE D ALLOCATIONS FAMILIALES DES ALPES MARITIMES;47 AVENUE DE LA MARNE;06175;NICE CEDEX 2;8430A Sécurité sociale obligatoire;INTERNE;Etendue
780254702;CAISSE D ALLOCATIONS FAMILIALES DES ARDENNES;4 PLACE DE LA GARE BP 596;08000;CHARLEVILLE MEZIERES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775558364;CAISSE D ALLOCATIONS FAMILIALES DES BOUCHES DU RHONE;215 CHEMIN DE GIBBES;13348;MARSEILLE CEDEX 20;8430A Sécurité sociale obligatoire;INTERNE;Etendue
781459599;CAISSE D ALLOCATIONS FAMILIALES DES DEUX SEVRES;TSA 37244;79060;NIORT;8430A Sécurité sociale obligatoire;INTERNE;Etendue
782437586;CAISSE D ALLOCATIONS FAMILIALES DES HAUTES ALPES;10 BOULEVARD GEORGES POMPIDOU;05008;GAP;8430A Sécurité sociale obligatoire;INTERNE;Etendue
381050996;CAISSE D ALLOCATIONS FAMILIALES DES HAUTS DE SEINE;70 A 88 RUE PAUL LESCOP;92023;NANTERRE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
782099121;CAISSE D ALLOCATIONS FAMILIALES DES LANDES;207 RUE FONTAINEBLEAU;40023;MONT DE MARSAN;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775640238;CAISSE D ALLOCATIONS FAMILIALES DES PYRENEES ORIENTALES;112 RUE DU DOCTEUR HENRI EY BP 49927;66019;PERPIGNAN;8430A Sécurité sociale obligatoire;INTERNE;Etendue
381067784;CAISSE D ALLOCATIONS FAMILIALES DES YVELINES;2 AVENUE DES PRES BP 17;78184;SAINT QUENTIN EN YVELINES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
778868497;CAISSE D ALLOCATIONS FAMILIALES DU BAS RHIN;18 RUE DE BERNE;67092;STRASBOURG;8430A Sécurité sociale obligatoire;INTERNE;Etendue
782357172;CAISSE D ALLOCATIONS FAMILIALES DU BEARN ET DU SOULE;5 RUE LOUIS BARTHOU;64035;PAU;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775561343;CAISSE D ALLOCATIONS FAMILIALES DU CALVADOS;8 AVENUE DU SIX JUIN CS 20001;14023;CAEN CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775562531;CAISSE D ALLOCATIONS FAMILIALES DU CANTAL;TSA 31300;15002;AURILLAC;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775021801;CAISSE D ALLOCATIONS FAMILIALES DU CHER;21 BOULEVARD DE LA REPUBLIQUE;18031;BOURGES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534738788;CAISSE D ALLOCATIONS FAMILIALES DU DOUBS;3 RUE LEON BLUM;25216;MONTBELIARD;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775915085;CAISSE D ALLOCATIONS FAMILIALES DU GARD;321 RUE MAURICE SCHUMANN;30922;NIMES CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
776986671;CAISSE D ALLOCATIONS FAMILIALES DU GERS;11 RUE DE CHATEAUDUN;32013;AUCH;8430A Sécurité sociale obligatoire;INTERNE;Etendue
778422832;CAISSE D ALLOCATIONS FAMILIALES DU JURA;62 ROUTE DE LYON;39200;SAINT-CLAUDE;8430C Sécurité sociale obligatoire;INTERNE;Etendue
778422832;CAISSE D ALLOCATIONS FAMILIALES DU JURA;62 ROUTE DE LYON;39207;SAINT CLAUDE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775369598;CAISSE D ALLOCATIONS FAMILIALES DU LOIR ET CHER;6 RUE LOUIS ARMAND;41015;BLOIS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775513708;CAISSE D ALLOCATIONS FAMILIALES DU LOIRET;2 PLACE SAINT CHARLES;45946;ORLEANS CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
782152888;CAISSE D ALLOCATIONS FAMILIALES DU LOT ET GARONNE;1 RUE JEAN LOUIS VINCENS;47000;AGEN;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534214051;CAISSE D ALLOCATIONS FAMILIALES DU PAS DE CALAIS;RUE DE BEAUFFORT;62015;ARRAS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
782260434;CAISSE D ALLOCATIONS FAMILIALES DU PAYS BASQUE ET DU SEIGNANX;10 AVENUE DU MARECHAL FOCH;64117;BAYONNE;8430A Sécurité sociale obligatoire;INTERNE;Etendue
534037254;CAISSE D ALLOCATIONS FAMILIALES DU RHONE;67 BOULEVARD VIVIER MERLE;69409;LYON;8430A Sécurité sociale obligatoire;INTERNE;Etendue
777306184;CAISSE D ALLOCATIONS FAMILIALES DU TARN ET GARONNE;CS 90787;82013;MONTAUBAN;8430A Sécurité sociale obligatoire;INTERNE;Etendue
778714964;CAISSE D ALLOCATIONS FAMILIALES DU TERRITOIRE DE BELFORT;12 RUE DU GENERAL STROLZ;90009;BELFORT;8430A Sécurité sociale obligatoire;INTERNE;Etendue
381002534;CAISSE D ALLOCATIONS FAMILIALES DU VAL D OISE;92 BOULEVARD HELOISE;95815;ARGENTEUIL;8430A Sécurité sociale obligatoire;INTERNE;Etendue
783169196;CAISSE D ALLOCATIONS FAMILIALES DU VAR;BP 1405;83056;TOULON;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775714124;CAISSE D ALLOCATIONS FAMILIALES DU VAUCLUSE;6 RUE SAINT CHARLES;84049;AVIGNON CEDEX 9;8430A Sécurité sociale obligatoire;INTERNE;Etendue
779145598;CAISSE D ALLOCATIONS FAMILIALES LA HAUTE LOIRE;TSA 11200;43009;LE PUY EN VELAY;8430A Sécurité sociale obligatoire;INTERNE;Etendue
784338881;CAISSE D ASSURANCE VIEILLESSE DES PHARMACIENS;45 RUE CAUMARTIN;75441;PARIS CEDEX 09;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775573397;CAISSE D'ALLOCATIONS FAMILIALES;10 RUE MARCEL BARBU;26023;VALENCE CEDEX 9;8430C Sécurité sociale obligatoire;INTERNE;Etendue
314560822;CAISSE D'ALLOCATIONS FAMILIALES;PARC D'ACTIVITES LA PROVIDENCE ZAC DE DOTHEMARE;97139;LES ABYMES;8430C Sécurité sociale obligatoire;INTERNE;Etendue
535326656;CAISSE D'ALLOCATIONS FAMILIALES;1, RUE DE PORTZMOGUER;29602;BREST;8430C Sécurité sociale obligatoire;INTERNE;Générale
777053125;CAISSE D'ALLOCATIONS FAMILIALES  DU LOT;304 RUE VICTOR HUGO;46004;CAHORS;8430C Sécurité sociale obligatoire;INTERNE;Générale
777749375;CAISSE D'ALLOCATIONS FAMILIALES D'ILLE ET VILAINE;COURS DES ALLIES;35028;RENNES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
775555642;CAISSE D'ALLOCATIONS FAMILIALES DE L'AUDE;18 AVENUE DES BERGES DE L'AUDE;11872;CARCASSONNE CEDEX 09;Code APE: 9105;INTERNE;Etendue
381016534;CAISSE D'ALLOCATIONS FAMILIALES DE L'ESSONNE;2 IMPASSE DU TELEGRAPHE;91013;EVRY CEDEX;8430B Sécurité sociale obligatoire;INTERNE;Etendue
535363071;CAISSE D'ALLOCATIONS FAMILIALES DE L'ISÈRE;3 RUE DES ALLIÉS - TSA 38429;38051;GRENOBLE;8430A Sécurité sociale obligatoire;MUTUALISE;Etendue
777927138;CAISSE D'ALLOCATIONS FAMILIALES DE LA CORREZE;PLACE DE L'HOTEL DE VILLE;19118;BRIVE CEDEX;8430A Sécurité sociale obligatoire;INTERNE;Etendue
776950446;CAISSE D'ALLOCATIONS FAMILIALES DE LA HAUTE GARONNE;24 RUE RIQUET;31046;TOULOUSE CEDEX 9;753C Sécurité sociale obligatoire;;Générale
314307828;CAISSE D'ALLOCATIONS FAMILIALES DE LA MARTINIQUE;PLACE D'ARMES - BP 421 BP 421;97291;LE LAMENTIN;8430C Sécurité sociale obligatoire;INTERNE;Etendue
786338871;CAISSE D'ALLOCATIONS FAMILIALES DE LA SARTHE;178 AVENUE BOLLEE BP 529;72034;LE MANS CEDEX 9;8430C Sécurité sociale obligatoire;INTERNE;Etendue
534172481;CAISSE D'ALLOCATIONS FAMILIALES DE MAINE-ET-LOIRE;32, RUE LOUIS GAIN;49927;ANGERS CEDEX 9;8430C Sécurité sociale obligatoire;INTERNE;Etendue
778600130;CAISSE D'ALLOCATIONS FAMILIALES DE SAONE ET LOIRE;177 RUE DE PARIS;71024;MACON CEDEX 9;8430C Sécurité sociale obligatoire;INTERNE;Etendue
775717333;CAISSE D'ALLOCATIONS FAMILIALES DES VOSGES;30 CHEMIN DE LA BELLE AU BOIS DORMANT;88016;EPINAL;8430C Sécurité sociale obligatoire;INTERNE;Générale
777907700;CAISSE D'ALLOCATIONS FAMILIALES DU MORBIHAN;70 RUE DE SAINTE ANNEBP 322;56018;VANNES;8430C Sécurité sociale obligatoire;INTERNE;Etendue
775634264;CAISSE D'ALLOCATIONS FAMILIALES DU PUY DE DOME;CITE ADMINISTRATIVE RUE PELISSIER;63032;CLERMONT FERRAND CEDEX 9;;INTERNE;Etendue
381202282;CAISSE D'ALLOCATIONS FAMILIALES DU VAL DE MARNE;2 VOIE FELIX EBOUE;94033;CRETEIL;8430C Sécurité sociale obligatoire;INTERNE;Etendue
783169196;CAISSE D'ALLOCATIONS FAMILIALES DU VAR;RUE EMILE OLLIVIER LA RODE;83000;TOULON;8430A Sécurité sociale obligatoire;INTERNE;Etendue
499147775;CAISSE D'ASSURANCE MALADIE DES INDUSTRIES ELECTRIQUES ET GAZIERES;11 RUE DE ROSNY;93100;MONTREUIL-SOUS-BOIS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
780078572;CAISSE D'ASSURANCE MUTUELLE DES SYLVICULTEURS DU SUD OUEST;32 ALLEE D'ORLEANS;33000;BORDEAUX;660E Assurance;MUTUALISE;Etendue
775634227;CAISSE D'ASSURANCE RETRAITE ET DE LA SANTE AU TRAVAIL AUVERG;CITE ADMINISTRATIVE RUE PELISSIER;63036;CLERMONT-FERRAND CEDEX 9;8411Z Administration générale, économique et sociale;INTERNE;Etendue
750475360;CAISSE D'ASSURANCE RETRAITE ET DE SANTE AU TRAVAIL D'ALSACE MOSELLE;36 RUE DU DOUBS;67011;STRASBOURG CEDEX;6530Z Caisses de retraite;INTERNE;Etendue
775648231;CAISSE D'ASSURANCE RETRAITE ET DE SANTÉ AU TRAVAIL RHÔNE-ALPES;69436 LYON CEDEX 03;69003;LYON;8430A Sécurité sociale obligatoire;INTERNE;Etendue
352483341;CAISSE D'EPARGNE ET DE PREVOYANCE DE BOURGOGNE FRANCE-COMTE;1 ROND POINT DE LA NATION;21000;DIJON;6419Z Intermédiation monétaire;INTERNE;Etendue
382900942;CAISSE D'EPARGNE ILE DE FRANCE;19 RUE DU LOUVRE;75001;PARIS;6190Z Autres activités de télécommunication;INTERNE;Etendue
112615001;CAISSE DE COMPENSATION DES PRESTATIONS FAMILIALES, DES ACCIDENTS DU TRAVAIL ET DE PRÉVOYANCE DES TRAVAILLEURS SALARIÉS;4 RUE DU GÉNÉRAL MANGIN BP L5 NOUVELLE-CALEDONIE;98849;NOUMEA;8430A Sécurité sociale obligatoire;INTERNE;Etendue
263306367;CAISSE DE CREDIT MUNICIPAL DE BORDEAUX;29 RUE DU MIRAIL;33074;BORDEAUX;6419Z Intermédiation monétaire;INTERNE;Générale
261302384;CAISSE DE CREDIT MUNICIPAL DE MARSEILLE;16 RUE VILLENEUVE;13001;MARSEILLE;6419Z Intermédiation monétaire;INTERNE;Etendue
778147454;CAISSE DE CREDIT MUTUEL DU SUD EST;8-10 RUE DU RHIN ET DANUBE;69009;LYON;6419Z Intermédiation monétaire;SALARIE;Etendue
341246122;CAISSE DE PREVOYANCE ET DE RETRAITE DU PERSONNEL DE LA SNCF;17 AVENUE DU GENERAL LECLERC;13347;MARSEILLE CEDEX 20;753A Sécurité sociale obligatoire;INTERNE;Etendue
784394512;CAISSE DE REASSURANCE MUTUELLE AGRICOLE DES PLANTEURS DE TABAC;19 RUE BALLU;75009;PARIS;6512Z Assurance;MUTUALISE;Etendue
383853801;CAISSE DE REASSURANCE MUTUELLE AGRICOLE DU CENTRE MANCHE;10 RUE BLAISE PASCAL;28006;CHARTRES CEDEX;6512Z Assurance;MUTUALISE;Etendue
785422304;CAISSE DE RETRAITE DU PERSONNEL NAVIGANT PROFESSIONNEL DE L'AÉRONAUTIQUE CIVILE;8 RUE DE L'HÔTEL DE VILLE;92200;NEUILLY-SUR-SEINE;6530Z Caisses de retraite;INTERNE;Etendue
775671886;CAISSE DE RETRAITE ET DE PREVOYANCE DES CLERCS ET EMPLOYES DE NOTAIRES;5 BIS RUE DE MADRID;75395;PARIS;8430A Sécurité sociale obligatoire;INTERNE;Etendue
784394827;CAISSE DE RETRAITE PERSONNEL DE BANQUES;4 RUE GEORGES PICQUART;75 017;PARIS;8430B Sécurité sociale obligatoire;MUTUALISE;Etendue
490364015;CAISSE DE RETRAITES DU PERSONNEL DE LA RATP;201 RUE CARNOT IMMEUBLE PERIGARD A;94127;FONTENAY SOUS BOIS CEDEX;6530Z Caisses de retraite;INTERNE;Etendue
479281719;CAISSE DE SECURITE SOCIALE DE MAYOTTE;PLACE MARIAGE BP 84;97600;MAMOUDZOU;8430A Sécurité sociale obligatoire;INTERNE;Etendue
180020026;CAISSE DES DÉPÔTS ET CONSIGNATIONS;56 RUE DE LILLE;75007;PARIS;6419Z Intermédiation monétaire;INTERNE;Etendue
269200903;CAISSE DES ECOLES;2 RUE CARNOT;92150;SURESNES;8899B Autre action sociale sans hébergement;MUTUALISE;Etendue
071681100;CAISSE DES ECOLES;3 IMPASSE PIERRE VOYER KOUTIO DUMBEA NC;98835;DUMBEA;8411Z Administration générale, économique et sociale;MUTUALISE;Etendue
269400636;CAISSE DES ECOLES DE L'HAY LES ROSES;41 RUE JEAN JAURES;94240;L'HAY LES ROSES;8899A Autre action sociale sans hébergement;MUTUALISE;Etendue
268708526;CAISSE DES ECOLES DE LA VILLE DE LIMOGES;9, PLACE LEON BETOULLE;87000;LIMOGES;8411Z Administration générale, économique et sociale;MUTUALISE;Etendue
215907675;CAISSE DES ECOLES DE LILLE;PLACE AUGUSTIN LAURENT;59000;LILLE;853K Action sociale;MUTUALISE;Etendue
267500262;CAISSE DES ECOLES DU 6EME ARRONDISSEMENT DE PARIS;78 RUE BONAPARTE;75270;PARIS;8899B Autre action sociale sans hébergement;;Etendue
332123892;CAISSE DES FRANCAIS DE L'ETRANGER;BP100  160 RUE DES MEUNIERS;77950;RUBELLES;8430A Sécurité sociale obligatoire;INTERNE;Etendue
490937778;CAISSE DU REGIME SOCIAL DES INDEPENDANTS DE CORSE .;;;;8430A Sécurité sociale obligatoire;SALARIE;Etendue
490964103;CAISSE DU REGIME SOCIAL DES INDEPENDANTS DES PAYS DE LOIRE;8 RUE ALBERT DE DION;44701;ORVAULT;753A Sécurité sociale obligatoire;SALARIE;Etendue
491351383;CAISSE DU REGIME SOCIAL DES INDEPENDANTS DES PROFESSIONS LIBERALES D'ILE DE FRANCE;22 RUE VIOLET;75730;PARIS CEDEX 15;753A Sécurité sociale obligatoire;SALARIE;Etendue
588505354;CAISSE FEDERALE DE CREDIT MUTUEL;34 RUE DU WACKEN;67913;STRASBOURG CEDEX 9;6419Z Intermédiation monétaire;SALARIE;Etendue
682033261;CAISSE FEDERALE DU CREDIT MUTUEL ANTILLES GUYANE;RUE DU PROFESSEUR RAYMOND GARCIN;97200;FORT DE FRANCE;6419Z Intermédiation monétaire;SALARIE;Etendue
072202419;CAISSE FEDERALE DU CREDIT MUTUEL D'ANJOU;1 PLACE DE MOLIERE BP 10648;49006;ANGERS;6419Z Intermédiation monétaire;SALARIE;Etendue
556650208;CAISSE FEDERALE DU CREDIT MUTUEL MAINE ANJOU BASSE NORMANDIE;43 BOULEVARD VOLNEY;53000;LAVAL;6419Z Intermédiation monétaire;SALARIE;Etendue
307049015;CAISSE FEDERALE DU CREDIT MUTUEL OCEAN;34 RUE LEANDRE MERLET;85000;LA ROCHE SUR YON;6419Z Intermédiation monétaire;SALARIE;Etendue
490963642;CAISSE FRANCHE COMTE REGIME SOCIAL DES INDEPENDANTS;260-264 AVENUE DU PRESIDENT WILSON;93457;LA PLAINE SAINT DENIS;8430A Sécurité sociale obligatoire;SALARIE;Etendue
314572025;CAISSE GENERALE DE SECURITE SOCIALE DE LA GUADELOUPE;QUARTIER DE L'HOTEL DE VILLE BP 486;97159;POINTE A PITRE CEDEX;8430A Sécurité sociale obligatoire;INTERNE;Etendue
